points_5,points_4,points_3,points_2,points_1
Kākāpō,Kākā,Little Spotted Kiwi,South Island Kōkako,Bittern
Fairy Tern,NA,NA,NA,NA
Kākāpō,NA,NA,NA,NA
Kingfisher,Black Robin,Banded Dotterel,Morepork,Fantail
Takahē,Royal Spoonbill,Kākāpō,Kōkako,New Zealand Dabchick
Kea,Tūī,Yellow-eyed penguin,New Zealand Dotterel,Kākāpō
Banded Dotterel,Antipodean Albatross,Australasian Crested Grebe,Bellbird,Black Robin
Barn Owl,Kākāpō,Chatham Island Mollymawk,Kākā,Little Penguin
Kākā,New Zealand Dotterel,Banded Dotterel,New Zealand Falcon,Buller's Mollymawk
Kākāpō,Kea,Takahē,Little Spotted Kiwi,South Island Kōkako
Orange-fronted Parakeet,Kōkako,Yellow-eyed penguin,Kākāpō,Fantail
Kākāpō,Kākā,Black Stilt,Blue Duck,Black Robin
Kākāpō,Yellow-eyed penguin,Stitchbird,Whenua Hou Diving Petrel,Little Spotted Kiwi
Yellow-eyed penguin,Morepork,Tūī,Bellbird,Australasian Gannet
Kākāpō,New Zealand King Shag,NA,NA,NA
Kākāpō,Rifleman,Black-fronted Tern,Fantail,Harrier
Kākāpō,Kākā,Kea,Mōhua,New Zealand Falcon
Little Spotted Kiwi,Kererū,Great Spotted Kiwi,Black Robin,Rifleman
Yellow-eyed penguin,Morepork,Fantail,Harrier,Bellbird
Kākāpō,NA,NA,NA,NA
Yellow-eyed penguin,NA,NA,NA,NA
Banded Dotterel,Yellow-eyed penguin,Bar-tailed Godwit,Chatham Island Oystercatcher,Kererū
Kākāpō,NA,NA,NA,NA
Kākāpō,Little Spotted Kiwi,North Island Brown Kiwi,Great Spotted Kiwi,Kea
Harrier,Black Petrel,Black Robin,Banded Dotterel,Bittern
Kākāpō,Banded Dotterel,Bar-tailed Godwit,Bittern,Black Robin
Bittern,Rifleman,Stitchbird,Southern Brown Kiwi,Rock Wren
Yellow-eyed penguin,Bittern,New Zealand Dotterel,Banded Dotterel,Spotless Crake
Kākāpō,Kea,NA,NA,NA
Antipodean Albatross,Banded Dotterel,Bittern,Kōkako,Yellow-eyed penguin
Fiordland Crested Penguin,Little Spotted Kiwi,Kākā,Gibson's Albatross,Great Spotted Kiwi
Kākāpō,Little Penguin,Orange-fronted Parakeet,Kererū,Antipodean Albatross
Kākāpō,NA,NA,NA,NA
Kākāpō,Shore Plover,Kākā,Little Spotted Kiwi,Rock Wren
Kea,Kākā,Kākāpō,Little Spotted Kiwi,Orange-fronted Parakeet
Yellow-eyed penguin,Antipodean Albatross,Gibson's Albatross,Fairy Tern,Chatham Island Oystercatcher
Kākāpō,South Island Kōkako,NA,NA,NA
Fantail,Barn Owl,Kingfisher,Tūī,Rockhopper Penguin
Kākāpō,Kākā,Kea,Orange-fronted Parakeet,Yellow-eyed penguin
Banded Dotterel,Bittern,Black Robin,Black-billed Gull,Fairy Tern
Kākāpō,Gibson's Albatross,Little Spotted Kiwi,Northern Royal Albatross,The Otago Shag
Black Stilt,Fairy Tern,Chatham Island Oystercatcher,Hutton's Shearwater,Kākā
Kākāpō,Kōkako,Black Robin,Morepork,White Heron
Kākāpō,Gibson's Albatross,Orange-fronted Parakeet,Takahē,Little Spotted Kiwi
Blue Duck,Kererū,Morepork,Antipodean Albatross,Banded Dotterel
Black Robin,Great Spotted Kiwi,Kea,Kākāpō,Orange-fronted Parakeet
Kākāpō,Saddleback,Morepork,Kākā,Orange-fronted Parakeet
Rockhopper Penguin,Fairy Tern,Black-billed Gull,Blue Duck,Saddleback
Fantail,Blue Duck,Kingfisher,Kākāpō,Yellow-eyed penguin
Banded Dotterel,Black Robin,Kākāpō,NA,NA
Fantail,NA,NA,NA,NA
Chatham Island Oystercatcher,Kākā,Takahē,Australasian Crested Grebe,Fantail
Kākāpō,Little Spotted Kiwi,Australasian Crested Grebe,North Island Brown Kiwi,Stitchbird
Bittern,Blue Duck,Takahē,Rifleman,Banded Dotterel
Grey Warbler,Fantail,New Zealand Robin,Variable Oystercatcher,Fiordland Crested Penguin
Kea,Orange-fronted Parakeet,Whitehead,Fantail,Blue Duck
Kākāpō,Mōhua,Southern Brown Kiwi,Orange-fronted Parakeet,Kākā
Yellow-eyed penguin,NA,NA,NA,NA
Blue Duck,Fiordland Crested Penguin,Great Spotted Kiwi,Kea,Kākāpō
Yellow-eyed penguin,Chatham Island Mollymawk,Kākāpō,Stitchbird,Antipodean Albatross
Antipodean Albatross,Kākā,South Island Kōkako,Kākāpō,Orange-fronted Parakeet
New Zealand Falcon,Southern Brown Kiwi,Tūī,Kākāpō,Fantail
Kākāpō,South Island Kōkako,Southern Brown Kiwi,Great Spotted Kiwi,Stitchbird
Fantail,Takahē,Black Robin,Royal Spoonbill,Orange-fronted Parakeet
Stitchbird,Pūkeko,Kōkako,Kākā,New Zealand Falcon
Kea,Kererū,Morepork,Tūī,Rockhopper Penguin
Blue Duck,New Zealand Dabchick,Little Penguin,Rockhopper Penguin,Orange-fronted Parakeet
Kākāpō,Kererū,Kea,Little Penguin,Tūī
South Island Pied Oystercatcher,Royal Spoonbill,Kākāpō,Rifleman,New Zealand Falcon
Southern Brown Kiwi,Great Spotted Kiwi,Kea,Kākāpō,Kākā
Kererū,Yellow-eyed penguin,Kākāpō,New Zealand Dabchick,Fiordland Crested Penguin
Kingfisher,Banded Dotterel,Bellbird,Morepork,Welcome Swallow
Yellow-eyed penguin,Orange-fronted Parakeet,Tūī,Mōhua,Kererū
Kākāpō,Black Robin,Orange-fronted Parakeet,Whenua Hou Diving Petrel,Kea
Chatham Island Mollymawk,Fiordland Crested Penguin,Australasian Crested Grebe,Banded Dotterel,Black Robin
Tūī,Kererū,Harrier,Fantail,Stitchbird
Antipodean Albatross,Yellow-eyed penguin,Silvereye,Chatham Island Mollymawk,New Zealand Dotterel
Kākā,Morepork,Black Robin,New Zealand Falcon,Weka
Kākāpō,Little Penguin,Kingfisher,Orange-fronted Parakeet,Grey Duck
Yellow-eyed penguin,Tūī,Antipodean Albatross,Banded Dotterel,Black Stilt
Kākā,Black Robin,Bittern,Little Spotted Kiwi,Chatham Island Mollymawk
Antipodean Albatross,Black Robin,Blue Duck,Harrier,Southern Brown Kiwi
Kākā,Saddleback,Grey Warbler,Kōkako,New Zealand Falcon
Antipodean Albatross,Barn Owl,Black Robin,Blue Duck,Kōkako
Yellow-eyed penguin,Black Robin,Fiordland Crested Penguin,Little Spotted Kiwi,NA
Kea,Blue Duck,Kākā,Tomtit,Fantail
Kākāpō,Kākā,Little Spotted Kiwi,Mōhua,Orange-fronted Parakeet
Chatham Island Oystercatcher,Antipodean Albatross,Banded Dotterel,Whenua Hou Diving Petrel,Black-billed Gull
Kākāpō,Orange-fronted Parakeet,Great Spotted Kiwi,Chatham Island Mollymawk,South Island Kōkako
Yellow-eyed penguin,Black Robin,Blue Duck,Little Spotted Kiwi,Kākā
Morepork,New Zealand Falcon,Fantail,Kākāpō,Kākā
Kākāpō,Antipodean Albatross,Banded Dotterel,Bittern,Black Robin
Morepork,Rockhopper Penguin,Kākā,Blue Duck,Gibson's Albatross
Kākāpō,Little Penguin,Yellow-eyed penguin,Rockhopper Penguin,Kea
Bittern,Black Stilt,Blue Duck,Kākā,Yellow-eyed penguin
Yellow-eyed penguin,Rockhopper Penguin,Fiordland Crested Penguin,The Otago Shag,Antipodean Albatross
Kākāpō,Buller's Mollymawk,Little shag,Campbell Black-Browed Albatross,Kākā
Orange-fronted Parakeet,Kākāpō,Kererū,Rockhopper Penguin,Stitchbird
Fiordland Crested Penguin,Orange-fronted Parakeet,Kākā,Kākāpō,Little Penguin
Blue Duck,Kea,Kākā,Tūī,New Zealand Falcon
Kākāpō,Orange-fronted Parakeet,North Island Brown Kiwi,Great Spotted Kiwi,Southern Brown Kiwi
Takahē,Kākāpō,Black Robin,Bellbird,Antipodean Albatross
Yellow-eyed penguin,Little Spotted Kiwi,Black Robin,Mōhua,Orange-fronted Parakeet
Stitchbird,Black-billed Gull,Blue Duck,Hutton's Shearwater,Antipodean Albatross
Fantail,Kākā,Little Penguin,Little Spotted Kiwi,Kākāpō
Fairy Tern,Morepork,Rockhopper Penguin,Orange-fronted Parakeet,Rifleman
Fantail,Great Spotted Kiwi,New Zealand Robin,Takahē,Tūī
Blue Duck,Rifleman,Light-mantled Sooty Albatross,Kea,Kākā
Kākāpō,Shore Plover,Wrybill,Chatham Island Oystercatcher,Black Robin
Black Robin,Fiordland Crested Penguin,Kea,Kākāpō,Kōkako
New Zealand Falcon,Kea,Kākā,Morepork,Tūī
Australasian Gannet,Bellbird,Blue Duck,Kingfisher,Tomtit
Antipodean Albatross,Saddleback,Kea,Kererū,Kākā
Fairy Tern,Great Spotted Kiwi,Kea,Kākāpō,Orange-fronted Parakeet
Antipodean Albatross,Southern Brown Kiwi,Black Robin,Fairy Tern,Yellow-eyed penguin
Kea,Kākāpō,Little Spotted Kiwi,North Island Brown Kiwi,NA
Kākāpō,Yellow-eyed penguin,Antipodean Albatross,Kererū,Little Spotted Kiwi
Black Robin,Whenua Hou Diving Petrel,Chatham Island Oystercatcher,Yellow-eyed penguin,Morepork
Kea,Kākāpō,New Zealand Falcon,Tūī,Kingfisher
Black Robin,Kākāpō,New Zealand Falcon,Black Stilt,Fairy Tern
Rifleman,Rock Wren,Shining Cuckoo,Stitchbird,Banded Dotterel
Yellow-eyed penguin,Fiordland Crested Penguin,Kākā,Little Penguin,Rockhopper Penguin
Fiordland Crested Penguin,Rockhopper Penguin,Stitchbird,Yellow-eyed penguin,Little Penguin
Yellow-eyed penguin,Morepork,Little Penguin,New Zealand Dabchick,Arctic Skua
Bittern,Fiordland Crested Penguin,Little Penguin,Yellow-eyed penguin,Kākā
Kākāpō,Kea,Tomtit,Rock Wren,Banded Dotterel
Bittern,Black Stilt,Black-billed Gull,Brown Teal,Kea
Black-billed Gull,Black Robin,Fairy Tern,Kākā,Kākāpō
New Zealand Falcon,Tūī,Kākāpō,Morepork,Barn Owl
Tūī,Kākā,New Zealand Falcon,Kea,Morepork
Stitchbird,NA,NA,NA,NA
New Zealand Falcon,Morepork,Kākāpō,Little Spotted Kiwi,Kingfisher
Banded Dotterel,South Island Kōkako,Yellow-eyed penguin,Blue Duck,Bellbird
Fantail,Little Spotted Kiwi,Great Spotted Kiwi,Buller's Mollymawk,Chatham Island Mollymawk
North Island Brown Kiwi,New Zealand Robin,New Zealand Dotterel,Little Penguin,Bittern
Fantail,Black Robin,Antipodean Albatross,Kererū,Yellow-eyed penguin
Black Robin,Chatham Island Mollymawk,Great Spotted Kiwi,Kākā,Little Spotted Kiwi
Bittern,Little Spotted Kiwi,New Zealand Dotterel,Kākāpō,Orange-fronted Parakeet
Black Robin,Black Stilt,Kākā,Rifleman,South Island Kōkako
Kākāpō,NA,NA,NA,NA
Antipodean Albatross,Campbell Black-Browed Albatross,Spotted Shag,Gibson's Albatross,Yellow-eyed penguin
Royal Spoonbill,Rifleman,Mōhua,Welcome Swallow,Silvereye
Grey Warbler,Fantail,Bittern,Black shag,Silvereye
Rifleman,Blue Duck,South Island Kōkako,Takahē,Kākāpō
Kākāpō,Yellow-eyed penguin,Black Stilt,Gibson's Albatross,Tomtit
New Zealand Falcon,Harrier,Barn Owl,Kākāpō,Shining Cuckoo
Kākāpō,Black Robin,Antipodean Albatross,Banded Dotterel,Bittern
Buller's Mollymawk,Kākāpō,Rockhopper Penguin,Stitchbird,Fairy Tern
Orange-fronted Parakeet,Yellow-eyed penguin,Antipodean Albatross,Banded Dotterel,The Otago Shag
Rockhopper Penguin,Stitchbird,Chatham Island Oystercatcher,Orange-fronted Parakeet,Tomtit
Kākāpō,Black Robin,Orange-fronted Parakeet,Southern Brown Kiwi,Fiordland Crested Penguin
Takahē,Orange-fronted Parakeet,Kea,Kākā,Kākāpō
Gibson's Albatross,NA,NA,NA,NA
Rockhopper Penguin,Fiordland Crested Penguin,Yellow-eyed penguin,Little Penguin,NA
Grey Duck,Grey Warbler,Harrier,Hutton's Shearwater,Kea
Mōhua,South Island Kōkako,Southern Brown Kiwi,Little Spotted Kiwi,Banded Dotterel
Yellow-eyed penguin,Fiordland Crested Penguin,Southern Royal Albatross,Royal Spoonbill,Little Penguin
Yellow-eyed penguin,Black Robin,Fairy Tern,Banded Dotterel,Kākā
Black Robin,Yellow-eyed penguin,Kākā,Mōhua,Blue Duck
Yellow-eyed penguin,NA,NA,NA,NA
Yellow-eyed penguin,NA,NA,NA,NA
Kākāpō,Little Spotted Kiwi,Southern Brown Kiwi,New Zealand Falcon,Kea
Saddleback,Yellow-eyed penguin,Kākāpō,Stitchbird,Orange-fronted Parakeet
Southern Royal Albatross,Bittern,Stitchbird,Kōkako,Bellbird
Yellow-eyed penguin,NA,NA,NA,NA
Kākāpō,Orange-fronted Parakeet,Yellow-eyed penguin,Banded Dotterel,Little Spotted Kiwi
Yellow-eyed penguin,Black Stilt,Bittern,Kākāpō,Antipodean Albatross
South Island Kōkako,Fairy Tern,Yellow-eyed penguin,Shore Plover,Chatham Island Oystercatcher
Yellow-eyed penguin,Antipodean Albatross,Black Robin,Blue Duck,Kākā
Little Penguin,Royal Spoonbill,Morepork,Great Spotted Kiwi,Little Spotted Kiwi
Wrybill,Kingfisher,Fantail,Tūī,Kākāpō
Kākā,Little Penguin,Harrier,Barn Owl,South Island Kōkako
Harrier,Little Penguin,Pūkeko,Barn Owl,Grey Duck
Yellow-eyed penguin,Rockhopper Penguin,Kererū,New Zealand Falcon,Fiordland Crested Penguin
South Polar Skua,Harrier,New Zealand Dotterel,Bellbird,Kākā
Kākāpō,NA,NA,NA,NA
Kea,Southern Royal Albatross,Kingfisher,Yellow-eyed penguin,Tomtit
Kākāpō,Kea,NA,NA,NA
Kākāpō,Orange-fronted Parakeet,Kākā,Kea,Southern Brown Kiwi
Yellow-eyed penguin,Banded Dotterel,New Zealand Falcon,Rifleman,Kingfisher
Yellow-eyed penguin,Bar-tailed Godwit,Antipodean Albatross,Fantail,Kākāpō
Tomtit,Kākāpō,Banded Dotterel,Chatham Island Oystercatcher,Black-fronted Tern
Mōhua,Tomtit,Silvereye,Black Robin,Southern Brown Kiwi
New Zealand Falcon,South Island Kōkako,Black-billed Gull,Bittern,New Zealand Dabchick
Fairy Tern,Kōkako,New Zealand Falcon,Stitchbird,South Island Pied Oystercatcher
Stitchbird,NA,NA,NA,NA
Kākāpō,Southern Brown Kiwi,Little Spotted Kiwi,North Island Brown Kiwi,Gibson's Albatross
New Zealand Dotterel,Little Spotted Kiwi,Kākāpō,Fairy Tern,Orange-fronted Parakeet
Kākāpō,Antipodean Albatross,Southern Brown Kiwi,Shore Plover,New Zealand Dotterel
Black Robin,Banded Dotterel,Black-billed Gull,Blue Duck,Kea
Blue Duck,Banded Dotterel,New Zealand Dotterel,Yellow-eyed penguin,Mōhua
Stitchbird,Rockhopper Penguin,Kererū,Fairy Tern,Kea
Black Robin,Rockhopper Penguin,Saddleback,Chatham Island Oystercatcher,Black Stilt
Banded Dotterel,Barn Owl,Black Robin,Blue Duck,Fiordland Crested Penguin
Antipodean Albatross,Kākā,Kākāpō,Chatham Island Mollymawk,Yellow-eyed penguin
Banded Dotterel,NA,NA,NA,NA
Antipodean Albatross,New Zealand Dabchick,Banded Dotterel,Orange-fronted Parakeet,Kākā
Australasian Crested Grebe,Bittern,Black-billed Gull,Chatham Island Oystercatcher,Kea
Stitchbird,Fairy Tern,Antipodean Albatross,Rockhopper Penguin,Southern Royal Albatross
Kākāpō,Little Penguin,Rockhopper Penguin,Yellow-eyed penguin,Fiordland Crested Penguin
Stitchbird,Banded Dotterel,Bittern,Great Spotted Kiwi,Kererū
Kākāpō,Kea,Orange-fronted Parakeet,Black Robin,Blue Duck
Stitchbird,Banded Dotterel,Bittern,Chatham Island Mollymawk,Chatham Island Oystercatcher
Kākāpō,Little Penguin,Little Spotted Kiwi,Kākā,Kea
Kākāpō,Little Spotted Kiwi,Great Spotted Kiwi,New Zealand Dotterel,Black Stilt
Kea,Great Spotted Kiwi,Little Penguin,Kererū,Silvereye
Whenua Hou Diving Petrel,Kākāpō,Great Spotted Kiwi,North Island Brown Kiwi,Blue Duck
Banded Dotterel,NA,NA,NA,NA
Rockhopper Penguin,Little Spotted Kiwi,Black-billed Gull,Black Robin,Little Penguin
Fairy Tern,Little Spotted Kiwi,Orange-fronted Parakeet,Takahē,Kākā
Kākāpō,Fiordland Crested Penguin,Black Stilt,Kākā,Chatham Island Oystercatcher
New Zealand Falcon,Kingfisher,Harrier,Kākā,Grey Duck
Kākāpō,Yellow-eyed penguin,Little Penguin,Rockhopper Penguin,Blue Duck
Kākāpō,Little Penguin,Little Spotted Kiwi,Kea,Black Robin
Fantail,Morepork,Tūī,Kākāpō,Kingfisher
Fairy Tern,Yellow-eyed penguin,Shore Plover,Whitehead,Rifleman
Kākāpō,Antipodean Albatross,New Zealand Falcon,Little Spotted Kiwi,Southern Brown Kiwi
Kākā,NA,NA,NA,NA
Shore Plover,NA,NA,NA,NA
Little Spotted Kiwi,Great Spotted Kiwi,Little Penguin,Orange-fronted Parakeet,Kererū
Kākā,NA,NA,NA,NA
Little Spotted Kiwi,Kākāpō,Black Robin,Tūī,Antipodean Albatross
Yellow-eyed penguin,Banded Dotterel,Fairy Tern,Chatham Island Oystercatcher,Black Robin
Kākāpō,Rockhopper Penguin,Weka,NA,NA
Rockhopper Penguin,Kākā,Little shag,Saddleback,Rifleman
Rock Wren,Welcome Swallow,Fantail,New Zealand Robin,New Zealand Falcon
Kākāpō,Little Penguin,Little Spotted Kiwi,Silvereye,Morepork
Black-fronted Tern,Banded Dotterel,Black Robin,Black Stilt,Grey Warbler
Kākāpō,Antipodean Albatross,The Otago Shag,Yellow-eyed penguin,Southern Brown Kiwi
Kākāpō,NA,NA,NA,NA
Yellow-eyed penguin,Chatham Island Oystercatcher,Little Spotted Kiwi,Chatham Island Mollymawk,Blue Duck
Yellow-eyed penguin,Black shag,Little Penguin,Little Spotted Kiwi,New Zealand King Shag
New Zealand Dotterel,Black Robin,Yellow-eyed penguin,Chatham Island Mollymawk,South Island Kōkako
Kākāpō,Little Penguin,Tūī,Yellow-eyed penguin,Black Stilt
Yellow-eyed penguin,Antipodean Albatross,Shore Plover,South Island Kōkako,Southern Brown Kiwi
Black Robin,Brown Teal,Fantail,Fiordland Crested Penguin,Grey Warbler
Takahē,Little Penguin,Kea,Tūī,Weka
Kākāpō,Little Spotted Kiwi,New Zealand Dotterel,Orange-fronted Parakeet,Shore Plover
Kākāpō,Blue Duck,Bellbird,Black Robin,Chatham Island Mollymawk
Kākāpō,Southern Brown Kiwi,Tūī,Harrier,Rifleman
Chatham Island Mollymawk,Black Robin,Kākā,South Island Kōkako,Banded Dotterel
Banded Dotterel,Fantail,NA,NA,NA
Kingfisher,Harrier,Kākā,Orange-fronted Parakeet,Southern Brown Kiwi
Fantail,New Zealand Falcon,New Zealand Robin,Kea,Black-billed Gull
Buller's Mollymawk,Australasian Crested Grebe,Fiordland Crested Penguin,Kea,New Zealand Falcon
Kererū,Fantail,Yellow-eyed penguin,Morepork,Little Penguin
Kea,Kererū,NA,NA,NA
Kākāpō,Fiordland Crested Penguin,Southern Brown Kiwi,Tūī,Kererū
Banded Dotterel,Morepork,Rockhopper Penguin,Yellow-eyed penguin,Blue Duck
Rockhopper Penguin,Fiordland Crested Penguin,New Zealand Falcon,Southern Brown Kiwi,Yellow-eyed penguin
Kākāpō,Antipodean Albatross,Banded Dotterel,Fairy Tern,Gibson's Albatross
Wrybill,Rock Wren,Yellow-eyed penguin,Buller's Mollymawk,Stitchbird
Black Robin,Kererū,Rockhopper Penguin,Kākāpō,Little Spotted Kiwi
Yellow-eyed penguin,Antipodean Albatross,Orange-fronted Parakeet,Kākā,Black Stilt
Kākāpō,Little Spotted Kiwi,Mōhua,Stitchbird,Whenua Hou Diving Petrel
Kea,Kererū,Kākāpō,Little Penguin,Pūkeko
Kākāpō,NA,NA,NA,NA
Kākāpō,NA,NA,NA,NA
Kākāpō,Fairy Tern,Blue Duck,Kākā,Orange-fronted Parakeet
Kākāpō,South Island Kōkako,NA,NA,NA
Rockhopper Penguin,Little Penguin,Yellow-eyed penguin,Chatham Island Mollymawk,Gibson's Albatross
Kākāpō,Little Spotted Kiwi,Black Robin,Fairy Tern,Antipodean Albatross
Barn Owl,Black Robin,Morepork,Rifleman,Tūī
Stitchbird,Black Robin,Rockhopper Penguin,Kākāpō,Whitehead
Black Robin,Kākāpō,New Zealand Falcon,Little Penguin,Kererū
Kākāpō,Kea,Morepork,Fiordland Crested Penguin,Rockhopper Penguin
New Zealand Dotterel,Southern Brown Kiwi,Gibson's Albatross,Banded Dotterel,Bittern
Weka,Yellow-eyed penguin,Fiordland Crested Penguin,Campbell Black-Browed Albatross,Tūī
Fiordland Crested Penguin,Black-fronted Tern,Stitchbird,Mōhua,Kingfisher
Kākāpō,Kākā,Yellow-eyed penguin,Southern Brown Kiwi,Antipodean Albatross
Kererū,Yellow-eyed penguin,Little Penguin,North Island Brown Kiwi,Great Spotted Kiwi
Yellow-eyed penguin,Fantail,Fiordland Crested Penguin,Gibson's Albatross,Hutton's Shearwater
Kākāpō,South Island Kōkako,Morepork,Little Spotted Kiwi,Whenua Hou Diving Petrel
Blue Duck,Black Robin,Yellow-eyed penguin,Kākāpō,Kākā
Yellow-eyed penguin,Orange-fronted Parakeet,The Otago Shag,Southern Brown Kiwi,Kākā
New Zealand Dotterel,Australasian Gannet,Takahē,Kererū,Kākāpō
Kākāpō,Kea,Black Robin,Gibson's Albatross,Little Spotted Kiwi
Yellow-eyed penguin,NA,NA,NA,NA
Kākāpō,Yellow-eyed penguin,Little Spotted Kiwi,Kea,Kererū
South Island Kōkako,Black-billed Gull,Bittern,Chatham Island Oystercatcher,Hutton's Shearwater
South Island Kōkako,Shore Plover,Chatham Island Mollymawk,Chatham Island Oystercatcher,Black Robin
Great Spotted Kiwi,Stitchbird,Gibson's Albatross,Antipodean Albatross,Whenua Hou Diving Petrel
Kākāpō,New Zealand Falcon,Orange-fronted Parakeet,Fiordland Crested Penguin,Rifleman
Yellow-eyed penguin,Takahē,New Zealand Robin,Stitchbird,Gibson's Albatross
Yellow-eyed penguin,Brown Teal,Kākāpō,Kākā,Rockhopper Penguin
Kākāpō,Orange-fronted Parakeet,Southern Brown Kiwi,Black Stilt,Little Spotted Kiwi
Kākā,Kākāpō,Black Stilt,Black Robin,Yellow-eyed penguin
Yellow-eyed penguin,NA,NA,NA,NA
Stitchbird,Rockhopper Penguin,Welcome Swallow,Bellbird,Southern Brown Kiwi
New Zealand Dotterel,Rockhopper Penguin,Grey Duck,Brown Teal,Scaup
Yellow-eyed penguin,Banded Dotterel,Royal Spoonbill,NA,NA
Kākāpō,North Island Brown Kiwi,Great Spotted Kiwi,Little Spotted Kiwi,Kererū
Yellow-eyed penguin,Fiordland Crested Penguin,Kākāpō,Orange-fronted Parakeet,Southern Brown Kiwi
Yellow-eyed penguin,South Island Kōkako,Kōkako,Kākā,Rock Wren
New Zealand Falcon,Tūī,Blue Duck,Orange-fronted Parakeet,Fiordland Crested Penguin
Kākāpō,Banded Dotterel,Kererū,Little Spotted Kiwi,Black Robin
Kākāpō,Chatham Island Mollymawk,Little Spotted Kiwi,Rockhopper Penguin,Kākā
Kākāpō,Kōkako,Kākā,Kererū,Great Spotted Kiwi
Orange-fronted Parakeet,Kea,Kākā,Kākāpō,Banded Dotterel
New Zealand Falcon,Southern Brown Kiwi,Harrier,Pūkeko,Bellbird
Kākāpō,Yellow-eyed penguin,Kea,Takahē,The Otago Shag
Kākāpō,Black Robin,Antipodean Albatross,Banded Dotterel,Bittern
Fairy Tern,Kea,Yellow-eyed penguin,Little Penguin,Southern Royal Albatross
Yellow-eyed penguin,Bellbird,Kea,Weka,NA
Rockhopper Penguin,Chatham Island Mollymawk,South Island Kōkako,Yellow-eyed penguin,Royal Spoonbill
Kākāpō,Black Robin,Tomtit,NA,NA
Harrier,NA,NA,NA,NA
Kākāpō,Salvin's Mollymawk,Kererū,New Zealand Dabchick,Kea
Black Robin,Wrybill,Fiordland Crested Penguin,Banded Dotterel,Rifleman
Kākāpō,New Zealand Dabchick,Southern Brown Kiwi,Kererū,Takahē
Kākāpō,Little Spotted Kiwi,Morepork,Takahē,New Zealand Falcon
Rifleman,Yellow-eyed penguin,Banded Dotterel,Mōhua,Kōkako
Banded Dotterel,Bittern,Mōhua,Orange-fronted Parakeet,Southern Brown Kiwi
Yellow-eyed penguin,NA,NA,NA,NA
Kākāpō,Little Penguin,Little Spotted Kiwi,Great Spotted Kiwi,Takahē
Kākāpō,Whenua Hou Diving Petrel,Little Spotted Kiwi,Yellow-eyed penguin,North Island Brown Kiwi
Fiordland Crested Penguin,Takahē,Kākāpō,Chatham Island Oystercatcher,Fairy Tern
Banded Dotterel,Black Petrel,Black Robin,Black-billed Gull,Mōhua
Kākā,Southern Brown Kiwi,Rockhopper Penguin,Morepork,New Zealand Dabchick
Black Robin,Bittern,Banded Dotterel,Black Stilt,Blue Duck
